# ARE Structural Calculator - Revit Section Name Mapping Table
#
# FORMAT: <Revit type name>, <AISC_Manual_Label>
#
# The left column is the exact Revit family type name (case-insensitive match
# at runtime - stored here in the form you see in Manage > Structural Settings).
# The right column is the AISC v16.0 AISC_Manual_Label (UPPERCASE, exact).
#
# USE THIS FILE when:
#   - Your Revit family type names differ from the standard AISC label format.
#   - Firm-standard or fabricator-named types (e.g. "W14 COLUMN" -> "W14X90").
#   - Older naming conventions with spaces or alternate notation.
#
# The normalization heuristic in script.py handles the common cases automatically:
#   - "W16x57"        -> "W16X57"       (lowercase x, auto-uppercased)
#   - "HSS 10X10X1/2" -> "HSS10X10X1/2" (space-stripped)
#   - "HSS10X10X.500" -> "HSS10X10X1/2" (decimal -> fraction)
#   - "HSS10x10x0.50" -> "HSS10X10X1/2" (combined)
# Add entries here ONLY for types that still fail after normalization.
#
# Column order: RevitTypeName, AISC_Manual_Label
#
# ---------------------------------------------------------------------------
# W-SHAPE EXAMPLES (firm standard names -> standard labels)
# ---------------------------------------------------------------------------
W14 COLUMN,W14X90
W14 COLUMN LIGHT,W14X48
W16 BEAM,W16X57
W18 BEAM HEAVY,W18X97
W21 BEAM,W21X62
W24 BEAM,W24X84
W24 BEAM HEAVY,W24X131
W27 BEAM,W27X94
W30 BEAM,W30X108
W33 BEAM,W33X130
W36 BEAM,W36X150
# ---------------------------------------------------------------------------
# HSS RECTANGULAR/SQUARE (only entries that survive normalization wrong)
# HSS with fraction walls are handled automatically; add decimal alternates:
# ---------------------------------------------------------------------------
HSS10X10X1/2,HSS10X10X1/2
HSS10X10X0.5,HSS10X10X1/2
HSS8X8X1/2,HSS8X8X1/2
HSS8X8X0.5,HSS8X8X1/2
HSS6X6X1/4,HSS6X6X1/4
HSS6X6X0.25,HSS6X6X1/4
HSS6X6X3/8,HSS6X6X3/8
HSS6X6X0.375,HSS6X6X3/8
HSS5X5X3/16,HSS5X5X3/16
HSS4X4X3/8,HSS4X4X3/8
HSS4X4X0.375,HSS4X4X3/8
HSS12X4X3/8,HSS12X4X3/8
HSS12X6X1/2,HSS12X6X1/2
# ---------------------------------------------------------------------------
# ROUND HSS (OD.000 x WALL format)
# ---------------------------------------------------------------------------
HSS10.750X0.500,HSS10.750X1/2
HSS8.625X0.500,HSS8.625X1/2
HSS6.625X0.500,HSS6.625X1/2
HSS6.625X0.375,HSS6.625X3/8
HSS5.563X0.375,HSS5.563X3/8
HSS4.500X0.375,HSS4.500X3/8
HSS3.500X0.300,HSS3.500X0.300
# ---------------------------------------------------------------------------
# ADD PROJECT-SPECIFIC ENTRIES BELOW THIS LINE
# ---------------------------------------------------------------------------
